input_data,expected_output
Nifedipine USP,nifedipine
Beta-Nicardia,atenolol/nifedipine
Clopidogrel Bisulphate,clopidogrel bisulfate
Plavic,Clopidogrel
Clopidogrel,Clopidogrel
Simlo 10,simvastatin 10 MG
Ranolazine,Ranolazine
Concor 2.5,Bisoprolol
Dexacap Captopril Tablet,Captopril
Captopril Tablet,captopril Oral Tablet
Terazosin HCl,terazosin hydrochloride
Invoril 10,Enalapril
Enapril 5,Enalapril
Invoril 5,Enalapril
Enapril-5,Enalapril
Invoril-10,Enalapril
Irbesartan Tensiber,Irbesartan
Approvel,Irbesartan
Apo Prazo,Prazosin
Candesart,Candesartan
Propranolol HCL,propranolol hydrochloride
Felodipin,Felodipine
Flecainide,flecainide
Now Double Strength Iron,Iron
Ironyl,Iron
Nutrilite Glucosamine-7,Glucosamine
Habatus Glucosamine,Glucosamine
Glucosamine HCl,Glucosamine
Kordel's Glucosamine,Glucosamine
Q & N Plant-Glucosamine,Glucosamine
Spirulina,spirulina
Ayomy 100% Pure Spirulina,Spirulina
Doxazosin,doxazosin
Losartan,Losartan
Sartocad 50,Losartan
Losar-H,Losartan
Losarsin,Losartan
Losartan Cozaar,Losartan
Acrelsar,Hydrochlorothiazide / telmisartan Oral Tablet [Actelsar HCT]
Hydroxyurea,Hydroxyurea
MSM,Methylsulfonylmethane
Red Yeast,Red Yeast Rice
Nuskin Ginkgo,Ginkgo Biloba Extract
Ginko Extract,Ginkgo Biloba Extract
Grape Seed Extract,grape seed extract
Euthyroxine,Levothyroxine
Levothyroxine (5 times/week),Levothyroxine
Thyronorm,Levothyroxine
Thyroxine (Sunday),Levothyroxine
HYPOTHYROXINE,Levothyroxine
Thyroxine LT4,Levothyroxine
Euthyrox,Euthyrox
Thyroxine (6 days a week),Levothyroxine
"Thyroxine (50 mcg Mon-Fri, 75 mcg Sat-Sun)",Levothyroxine
Euthyrox (Sun),Euthyrox
Insulin Glargine 300IU/3mL Solostar (F),Insulin Glargine
Insulin Glargine 10 (40 units),Insulin Glargine
Metformin HCI,Metformin
Metformin,Metformin
Diabetmin Metformin,Metformin
Metformin HCL (Galvus Met),Metformin
Diabetmin XR,Metformin
Glyciphage,Metformin
Apo Rosuvastatin,Rosuvastatin
Rosucard,Rosuvastatin
Crestor Rosuvastatin,Rosuvastatin
Rosuvastatin,Rosuvastatin
API-Rosuvastatin,Rosuvastatin
Rosuvas 10,Rosuvastatin
Slo Niacin Vitamin B3,Niacin
Ezetimibe,ezetimibe
Simvastatin,Simvastatin
Simvor,Simvastatin
Simvor 20,Simvastatin
Priacin (Simvastatin),Simvastatin
Simlo-10 Simvastatin USP,Simvastatin
Simlo-10,Simvastatin
Ifistatin Simvastin,Simvastatin
Simvor 10,Simvastatin
Beatorva 20,Atorvastatin
Atoris (Statin),Atorvastatin
Atswift Atorvastatin,Atorvastatin
Atorvastatin,Atorvastatin
Atorvastin,Atorvastatin
Atavor,Atorvastatin
Estraval,estradiol
Prednisolone Acelate,Prednisolone
Prednisolone Eye Drop,Prednisolone
Lipanthyl Penta 145,Lipanthyl
Lipanthyl Supra,Lipanthyl
Trolip 300,Fenofibrate
Po Fenofibrate,Fenofibrate
Renofibrate,Fenofibrate
Lipanthyl Penta (Fenofibrate),Lipanthyl
Lipanthyl Penta,Lipanthyl
Sun Glucon (Glipizide),Glipizide
Unitrac (Itraconazole),Itraconazole
Acyclovir Stada,Acyclovir
Cravit 1.5%,Levofloxacin
Forcan-150,Fluconazole
Po Cellcept,Cellcept
Trimeprazine HCI MR,Trimeprazine
Trimetazidine HCl,Trimetazidine
TRIMETAZIDINE MR,Trimetazidine
Trimetazidine Dihcl,trimetazidine dihydrochloride
Trimetazidine HCL,Trimetazidine
Borage Seed Oil,Borage Oil
Neuromethyn Mecobalamin,Mecobalamin
Isotonix Vitamin D,Vitamin D
Nicoxia 90 Etoricoxib,Etoricoxib
Ascorbic,Ascorbic Acid
21st Century Slow Release Vitamin C-500,Ascorbic Acid
Azathioprine,azathioprine
Azathioprin,azathioprine
Korandil 5,Nicorandil
Liquid Calcium,Calcium
Osteocare Calcium,Calcium
Atom Chewable Calcium,Calcium
Betaserc 24,Betahistine
SR Biotin,Biotin
